,title,price,commit,shop_name,href,brand,RAM,SSD,GPU,CPU,screen
31,华为HUAWEI MateBook E 12.6英寸OLED全面屏二合一笔记本电脑 平板电脑 办公本11代酷睿i5 16+512GB WIFI灰,6999.00,1万+,华为京东自营官方旗舰店,https://item.jd.com/100029355512.html,华为（HUAWEI）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：intel 集成显卡,i5-1130G7,其他
32,华为HUAWEI MateBook E 12.6英寸OLED全面屏二合一笔记本电脑 平板电脑轻薄办公本11代酷睿i5 8+256GB WIFI灰,5999.00,1万+,华为京东自营官方旗舰店,https://item.jd.com/100016140981.html,华为（HUAWEI）,内存容量：8GB,固态硬盘（SSD）：256GB,显卡型号：intel 集成显卡,i5-1130G7,其他
33,惠普(HP)战66四代 锐龙版 15.6英寸轻薄笔记本电脑(Zen3架构 8核 R7-5800U 16G 1TB 400尼特高色域 一年上门),5499.00,20万+,惠普京东自营官方旗舰店,https://item.jd.com/100018083802.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：1TB,显卡型号：集成显卡,R7-5800U,15.6英寸
34,"京品电脑
惠普(HP)战66四代 锐龙版 14英寸轻薄笔记本电脑(Zen3架构 6核 R5-5600U 8G 512G 一年上门+意外 2年电池)",4399.00,20万+,惠普京东自营官方旗舰店,https://item.jd.com/100018080000.html,惠普（HP）,内存容量：8GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R5-5600U,14英寸
35,联想笔记本电脑 小新Air14Plus锐龙版 14英寸全面屏高性能独轻薄(6核R5-5600U 16G 512G 2.2K屏 满血MX450)灰,5499.00,20万+,联想京东自营旗舰店,https://item.jd.com/100020877742.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：MX450,R5-5600U,14英寸
36,"京品电脑
联想ThinkBook 15p 15.6英寸高性能轻薄笔记本电脑设计师(i7-11800H 16G 512G RTX3050 Win11)",8599.00,5万+,ThinkPad京东自营旗舰店,https://item.jd.com/100027115138.html,ThinkPad,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：RTX 3050 Max-Q,i7-11800H,15.6英寸
37,联想笔记本电脑 小新Pro14锐龙版14英寸全面屏高性能轻薄本(标压6核R5-5600H 16G 512G 2.8K 90Hz 护眼屏)银,5399.00,20万+,联想京东自营旗舰店,https://item.jd.com/100026957550.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R5-5600H,14英寸
38,联想笔记本电脑小新Pro16锐龙版 16英寸全面屏高性能游戏轻薄本 (6核R5-5600H 16G 512G 2.5K高刷屏 GTX1650),5799.00,20万+,联想京东自营旗舰店,https://item.jd.com/100020877548.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：GTX 1650,R5-5600H,16英寸
39,惠普(HP)战66四代 锐龙版 15.6英寸轻薄笔记本电脑(Zen3架构 6核 R5-5600U 8G 512G 一年上门+意外 2年电池),3999.00,20万+,惠普京东自营官方旗舰店,https://item.jd.com/100010242579.html,惠普（HP）,内存容量：8GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R5-5600U,15.6英寸
40,惠普(HP)战66四代 锐龙版 15.6英寸轻薄笔记本电脑(Zen3架构 6核 R5-5600U 16G 512G 一年上门+意外 2年电池),4499.00,20万+,惠普京东自营官方旗舰店,https://item.jd.com/100018083824.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R5-5600U,15.6英寸
